名称,链接,时间
悄悄的他,https://music.163.com/album?id=82039813,2019.10.03
大戒,https://music.163.com/album?id=81565340,2019.9.11
Life·Live,https://music.163.com/album?id=81559999,2019.9.11
开荒,https://music.163.com/album?id=81049723,2019.8.22
安眠咒,https://music.163.com/album?id=80828212,2019.8.07
荒唐戏,https://music.163.com/album?id=80418591,2019.7.17
粥请客（六）,https://music.163.com/album?id=79590871,2019.6.05
动物园,https://music.163.com/album?id=78952292,2019.5.06
一碗,https://music.163.com/album?id=78439289,2019.4.14
落霜,https://music.163.com/album?id=78442908,2019.4.12
浮白,https://music.163.com/album?id=75017048,2019.2.04
这个大叔不太冷,https://music.163.com/album?id=75020082,2019.2.02
离家最近的路,https://music.163.com/album?id=75351594,2019.1.30
粥请客（五）,https://music.163.com/album?id=74306483,2018.11.11
2018（注意保暖）,https://music.163.com/album?id=73966611,2018.10.21
活该,https://music.163.com/album?id=73472962,2018.9.29
粥请客（四）,https://music.163.com/album?id=73587275,2018.9.28
2018（哼）,https://music.163.com/album?id=73397148,2018.9.20
粥串门（方仔）,https://music.163.com/album?id=72979643,2018.9.04
2018（終）,https://music.163.com/album?id=72782438,2018.9.03
粥请客（三）,https://music.163.com/album?id=72374170,2018.8.22
2018（三）,https://music.163.com/album?id=71681907,2018.6.28
粥请客（二）,https://music.163.com/album?id=39752444,2018.6.19
粥请客（一）,https://music.163.com/album?id=39517921,2018.6.06
纸短情长,https://music.163.com/album?id=38594130,2018.5.10
2018（二）,https://music.163.com/album?id=38476655,2018.4.27
2018（一）,https://music.163.com/album?id=37860981,2018.3.10
2017（番外二）,https://music.163.com/album?id=36760669,2017.11.11
2017（四）,https://music.163.com/album?id=36632176,2017.10.24
2017（三）,https://music.163.com/album?id=35190126,2017.2.17
2017（二）,https://music.163.com/album?id=35133818,2017.1.16
2017（一）,https://music.163.com/album?id=35098128,2017.1.01
粥打野,https://music.163.com/album?id=34762281,2016.7.07
亚洲第一女子天团,https://music.163.com/album?id=34477262,2015.12.12
乍见之欢,https://music.163.com/album?id=81160306,2015.3.30
一些无处存放的歌曲,https://music.163.com/album?id=34478221,2014.12.21
很多无处存放的歌曲,https://music.163.com/album?id=3078773,2013.7.07
早年间的其他一些歌,https://music.163.com/album?id=2623159,2012.12.06
早年间的一些歌,https://music.163.com/album?id=24751,2012.5.05
早年间翻唱的歌,https://music.163.com/album?id=34762246,2012.3.03
