歌手,专辑,歌曲
花粥,悄悄的他,悄悄的他
花粥,悄悄的他,悄悄的他（伴奏）
花粥,大戒,大戒
花粥,Life·Live,是红
花粥,Life·Live,超大只怪兽
花粥,Life·Live,光
花粥,Life·Live,人类之后
花粥,Life·Live,月球
花粥,Life·Live,带病旅行
花粥,Life·Live,some random things
花粥,Life·Live,是红 (伴奏)
花粥,Life·Live,超大只怪兽 (伴奏)
花粥,Life·Live,光 (伴奏)
花粥,Life·Live,人类之后 (伴奏)
花粥,Life·Live,月球 (伴奏)
花粥,Life·Live,带病旅行 (伴奏)
花粥,Life·Live,some random things (伴奏)
花粥,开荒,开荒
花粥,安眠咒,安眠咒
花粥,安眠咒,安眠咒-伴奏
花粥,荒唐戏,荒唐戏
花粥,粥请客（六）,多喝热水
花粥,粥请客（六）,多喝热水（伴奏）
花粥,动物园,动物园
花粥,动物园,动物园 (伴奏)
花粥,一碗,楔子
花粥,一碗,四月变成一座桥
花粥,一碗,归去来兮
花粥,一碗,五个人
花粥,一碗,老郭
花粥,一碗,清
花粥,一碗,树说
花粥,一碗,山中客
花粥,一碗,何苦来哉
花粥,一碗,糟糕的歌者
花粥,一碗,请你吃个冰激凌
花粥,一碗,在山河的角落里唱给你听
花粥,一碗,四月变成一座桥 (伴奏)
花粥,一碗,归去来兮 (伴奏)
花粥,一碗,五个人 (伴奏)
花粥,落霜,落霜
花粥,落霜,落霜 (伴奏)
花粥,浮白,浮白
花粥,浮白,浮白（伴奏）
花粥,这个大叔不太冷,这个大叔不太冷
花粥,这个大叔不太冷,这个大叔不太冷（伴奏）
花粥,离家最近的路,离家最近的路
花粥,离家最近的路,离家最近的路 (伴奏)
花粥,粥请客（五）,你还在忧愁什么呢
花粥,粥请客（五）,你还在忧愁什么呢-伴奏
花粥,2018（注意保暖）,我抬头一看满街都是单身的狗
花粥,活该,活该
花粥,粥请客（四）,出山
花粥,粥请客（四）,出山 (伴奏)
花粥,2018（哼）,顺平侯
花粥,粥串门（方仔）,我说我当不了县长
花粥,2018（終）,舍离书
花粥,粥请客（三）,摸摸它
花粥,粥请客（三）,《摸摸它》伴奏
花粥,2018（三）,又失恋了
花粥,粥请客（二）,盗将行
花粥,粥请客（二）,盗将行 (伴奏)
花粥,粥请客（一）,海盗船长2.0
花粥,纸短情长,纸短情长
花粥,纸短情长,纸短情长 (伴奏)
花粥,2018（二）,去问猫耳朵
花粥,2018（二）,再也看不见海
花粥,2018（二）,夏季八谈
花粥,2018（一）,最美不过是朝晖
花粥,2017（番外二）,碌碌
花粥,2017（四）,妖魔山游记
花粥,2017（四）,十月一场
花粥,2017（四）,猫都瞧不起我
花粥,2017（三）,一腔诗意喂了狗
花粥,2017（三）,杀死那朵花
花粥,2017（三）,我想带你去美丽的春天（Island Remix）
花粥,2017（二）,锁
花粥,2017（二）,七八年
花粥,2017（一）,遥不可及的你
花粥,2017（一）,深夜鱼塘
花粥,粥打野,一首情歌
花粥,粥打野,南来北往
花粥,粥打野,七月身后一阵风
花粥,粥打野,娇娇
花粥,粥打野,长岛
花粥,粥打野,夏季八场
花粥,粥打野,喵
花粥,粥打野,唱不上去
花粥,亚洲第一女子天团,想表达的太多
花粥,亚洲第一女子天团,十号线的忧伤
花粥,亚洲第一女子天团,一只狗
花粥,乍见之欢,小相思
花粥,乍见之欢,只不过是
花粥,乍见之欢,心花怒放
花粥,乍见之欢,猝不及防
花粥,乍见之欢,良辰美景芳菲未尽
花粥,乍见之欢,我的吉他变了心
花粥,乍见之欢,少年你在哪里
花粥,乍见之欢,20岁的某一天
花粥,乍见之欢,你就要走了
花粥,乍见之欢,远在北方孤独的鬼
花粥,一些无处存放的歌曲,得过且过
花粥,一些无处存放的歌曲,三天
花粥,一些无处存放的歌曲,她
花粥,一些无处存放的歌曲,轻狂
花粥,一些无处存放的歌曲,死神
花粥,一些无处存放的歌曲,小咪
花粥,一些无处存放的歌曲,夜诉
花粥,一些无处存放的歌曲,我总是没钱
花粥,一些无处存放的歌曲,青蛙与马
花粥,很多无处存放的歌曲,思人树
花粥,很多无处存放的歌曲,飘
花粥,很多无处存放的歌曲,逗比
花粥,很多无处存放的歌曲,那是我难过的事情
花粥,很多无处存放的歌曲,耳朵
花粥,很多无处存放的歌曲,回首又见他
花粥,很多无处存放的歌曲,给未来的你
花粥,很多无处存放的歌曲,公园
花粥,很多无处存放的歌曲,国王不在家
花粥,很多无处存放的歌曲,猝不及防
花粥,很多无处存放的歌曲,只不过是
花粥,很多无处存放的歌曲,西安
花粥,很多无处存放的歌曲,心花怒放
花粥,很多无处存放的歌曲,你就要走了
花粥,很多无处存放的歌曲,小相思（demo）
花粥,早年间的其他一些歌,给他一瓶可乐
花粥,早年间的其他一些歌,小熊
花粥,早年间的其他一些歌,那个时候
花粥,早年间的其他一些歌,画
花粥,早年间的其他一些歌,花房姑娘(翻唱崔健)
花粥,早年间的其他一些歌,胸中有血心头有伤
花粥,早年间的其他一些歌,你难过可它早晚会好
花粥,早年间的一些歌,在路上
花粥,早年间的一些歌,我们总是在寻找
花粥,早年间的一些歌,少年你在哪里
花粥,早年间的一些歌,妈妈要我出嫁
花粥,早年间的一些歌,远在北方孤独的鬼
花粥,早年间的一些歌,二十岁的某一天
花粥,早年间翻唱的歌,花房姑娘
花粥,早年间翻唱的歌,西兰花
